Start time: 23:11:23
Epoch | Train Loss | Train Acc |  Val Acc  | Time
---------------------------------------------
    1 |     2.3473 |    0.3773 |    0.3773 | 23:38:43
    2 |     1.9565 |    0.4223 |    0.4223 | 00:06:10
    3 |     1.8650 |    0.4405 |    0.4405 | 00:33:40
    4 |     1.8208 |    0.4507 |    0.4507 | 01:01:03
    5 |     1.7941 |    0.4564 |    0.4563 | 01:28:24
    6 |     1.7743 |    0.4590 |    0.4591 | 01:55:46
    7 |     1.7593 |    0.4634 |    0.4635 | 02:23:08
    8 |     1.7476 |    0.4671 |    0.4671 | 02:50:29
    9 |     1.7383 |    0.4693 |    0.4692 | 03:18:00
   10 |     1.7308 |    0.4718 |    0.4717 | 03:45:27
   11 |     1.7241 |    0.4731 |    0.4730 | 04:12:48
   12 |     1.7182 |    0.4771 |    0.4770 | 04:40:13
   13 |     1.7132 |    0.4788 |    0.4786 | 05:07:34
   14 |     1.7087 |    0.4803 |    0.4802 | 05:35:00
   15 |     1.7047 |    0.4815 |    0.4815 | 06:02:22
   16 |     1.7009 |    0.4824 |    0.4824 | 06:29:44
   17 |     1.6975 |    0.4837 |    0.4837 | 06:57:14
   18 |     1.6944 |    0.4848 |    0.4847 | 07:26:01
   19 |     1.6917 |    0.4854 |    0.4854 | 07:53:32
   20 |     1.6893 |    0.4863 |    0.4863 | 08:21:07
   21 |     1.6871 |    0.4867 |    0.4867 | 08:48:42
   22 |     1.6850 |    0.4874 |    0.4873 | 09:16:18
   23 |     1.6829 |    0.4873 |    0.4872 | 09:44:05
   24 |     1.6810 |    0.4880 |    0.4880 | 10:11:31
   25 |     1.6792 |    0.4884 |    0.4884 | 10:38:57
Model saved to models/2025-07-20_10-38-57
